Text,label
hah kemaren apresiasi pinjol bilang gerah muntah,negatif
presiden ingat ojk pinjol bunga,positif
pinjol illegal gampang klo tekan sebar leluasa promosi produk minimal database no hp provider jamin kerahasiannya aja dah susah kembang tuh pinjol illegal mah kgk saban dpt aja broadcastan ampun dah,negatif
wong sek bendinane ngremehke gaweanne liyo ki toke durung tau sleding pinjol,netral
tau tuh si pinjol bahaya bisa data nik jg bobol aneh aneh,negatif
presiden pinjol rentenir diijinkan operasi tentu yg rugi masyarakat tolong tarik ijin pinjol yg masuk akal biar tdk bnyk rakyat korban,negatif
presiden jokowi ingat ojk masyarakat jerat tipu amp bunga pinjol laknat,netral
masyarakat jerat bunga pinjol perintah jokowi ojk,positif
tuh iqrooooo pinjol,netral
cari informan bagi cerita putar pinjol syarat tera gambar tolong bantu sebar like retweet ya terima kasih cc,positif
yo salah jerat hutang pinjol sulit apa hidup jebak pinjol bunga pinjam juta cair ribu total pinjam plus bunga yg bayar jd juta,negatif
pinjol salah sapa sampe jamur,negatif
yg cermat ato kalo revisi atur yg boleh orang lembaga nonbank transaksi uang pinjol tatar operasional mudharatnya banding manfaat yg bunuh akibat pinjol,negatif
kmrn bangga in dah ngasih modal pinjol skrg gerah fee nya,negatif
cari informan bagi cerita putar pinjol syarat tera gambar tolong bantu sebar like retweet ya terima kasih cc,positif
presiden sorot marak pinjam online pinjol jerat masyarakat ekonomi kelas aku dengar kabar tipu tinggi bunga beban pinjol pinjam,negatif
sangkut paut ama pinjol nyet emang nya apbn pinjol,netral
jokowi marak pinjam online iring kembang inovasi bidang financial technology fintech nasional,netral
cari informan bagi cerita putar pinjol syarat tera gambar tolong bantu sebar like retweet ya terima kasih cc,positif
ojk pinjol ilegal yg luar wenang ojk koordinasi polri ojk kemkominfo,negatif
masyarakat jerat bunga pinjol perintah jokowi ojk klik baca,netral
modal ribu jual nya ribu gimana ngak hutang ente pinjol dagang kau aja goblok goblok tolol kau,negatif
ojk pinjol ilegal yg luar wenang ojk koordinasi polri ojk kemkominfo,negatif
hidup rusak bodoi pinjol asu bangsat,negatif
presiden peran digitalisasi perban cepat bkn mudah nasabah prioritas masyarakat yg jangkau kalah ojk hati masyarakat yg tipu pinjol,netral
bangga banget alir kredit pinjol komentar always paradox,positif
mumet pora pinjol hbs dibanggain skrg,netral
ojk pinjol ilegal yg luar wenang ojk koordinasi polri ojk kemkominfo,negatif
masyarakat lapis tipu jerat pinjol tanggap jokowi,negatif
bos pinjol,netral
jokowi gerah praktik pinjol rugi masyarakat,negatif
absurd bgt kantor yg gaji jt hapenya redmi santai aja yg gaji jt maksa nyicil iphone sampe skrg lilit pinjol guess frugal living is not for everyone,negatif
asa beda dgn kemarin,netral
masyarakat lapis tipu jerat pinjol tanggap jokowi,negatif
pinjol ilegal berantas lupa pinjol legal ilegal ambil tindak cc,negatif
pinjol,negatif
kmrin bilang pinjol pusing mikirin pinjol ya allah gin ya dosa sih negeri,negatif
pulsa bang isi pakai nomor abang aja gitu mba gw takut nomor gw abang jadi pinjol cumadigrab,negatif
pinjol santap orang yg bener pepet uang gak mikirin bunga dapat mudah yg lbh potensi macet apalgi bunga bln kk lbh selektif iming nya lbh kpd mudah transaksi byk jg yg lupa guna bunga bln,positif
presiden ingat ojk pinjol bunga,positif
bosan bosan info jauh pinjol sembarang klik taut sembarang bagi nomer pribadi bagi data pribadi ktp dsb fatal sengsara akibat jauh pinjol,negatif
presiden joko widodo jokowi singgung fintech lending pinjam online pinjol cekik masyarakat bunga,negatif
presiden joko widodo jokowi aku geram dengar marak pinjam online pinjol ilegal masyarakat resah pasal pinjol ilegal tipu,negatif
presiden pinjol rentenir diijinkan operasi tentu yg rugi masyarakat tolong tarik ijin pinjol yg masuk akal biar tdk bnyk rakyat korban,negatif
gerai provider ternjelei ternyebahi ter iyuh adala mending klen ganti bidang usaha jd pinjol ilegal aja fraud rugi umat manusia motto hidup klen,negatif
