Text,label
shin tae yong masih layak dipertahankan berita shin tae yong terjadi timnas kalah vietnam sty mohon maaf respon ketum pssi cupaff tribunmedan shintaeyong via,positif
shin tae yong Indonesia sukses jadi bintang ikan gagal jadi pelatih PSSI .,negatif
naturalisasi harus menggantikan normalisasi sepak bola ala pssi,netral
hari tim nasional piala pssi aff mitsubishi electric,netral
"pelatih bagus, pemain naturalisasi, banyak stadion mulai mewah, fasilitas mumpuni, suporter garang, astagfirullah prestasi sepak bola PSSI",positif
"kasus Kanjuran lama tak beres , hard win , seperti kasus PSSI Timnas Indonesia , mari kita perbaiki PSSI , gan",positif
"guys , jangan pernah ragu mencoba sesuatu yang jelas terpercaya , pasti sukses guys",positif
tidak ingin penilaian yang benar. Terlihat objektif. tetap tinggal. Ganti pelatih. solusi efektif. Evaluasi kembali. bersama perbaikan.,positif
kalimat mulu kereta kaga sarat makna sarkasme main hati main tekad main dada kebanggaan garuda main cinta main otak main kemampuan terbaik main patriotisme PSSI,positif
pengumuman hari sepak bola Indonesia harus mulai bangkit terus maju go global yakin Indonesia mampu bangkit bersama PSSI FIFA Indonesia,positif
"Hari Tragedi , Pesepakbola Indonesia Bangkit , Beruntung Seseorang Peduli Olahraga , Kebanggaan Bangsa , Sepak Bola , Erick Thohir Indonesia , Maju Bersama Sepak Bola Indonesia , PSSI FIFA , Kanjuruhan",positif
menit tanpa satu tembakan target mempermalukan tim nasional tim tarkam wajah marah wajah marah wajah marah wajah pssi sty,negatif
"bukan berarti berpura-pura mengerti mungkin permainan Edo sisi kiri terorganisir & meyakinkan kesempatan bermain terus memberi liga, memang Arhan keuntungan luar negeri jarak jauh, sepak bola cukup, affmitsubishielectriccup pssi",negatif
"guys , jangan pernah ragu mencoba sesuatu yang jelas terpercaya , pasti sukses guys",positif
Iwanbule Gemuk PSSI Tak peduli organisasi umur panjang berjenjang liga pelatih usia membuat pemusatan latihan timnas tak ada yang larang biarkan syarat seumur hidup terpenuhi,negatif
"guys , jangan pernah ragu mencoba sesuatu yang jelas terpercaya , pasti sukses guys",positif
muka nangis muka nangis muka kecewa muka kecewa muka murung muka berkeringat muka murung muka berkeringat pssi pssi pssi bisaapa timnas indonesia timnas senior timnas senior garuda jakarta indonesia,negatif
"guys , jangan pernah ragu mencoba sesuatu yang jelas terpercaya , pasti sukses guys",positif
cerita lama terjadi gagal jadikan final timnas hari timnas indonesia PSSI,negatif
timnas butuh waktu jadi juara cara udah naturalisasi main eropa udah n't mentalitas juara nih alias timnas ah sdh roll lantai ketawa muka air mata keceriaan hari timnas vietnamvsindonesia affmitsubishielectric cup pssi,positif
"kemungkinan pelatih STY memecat kongres sepertinya tradisi unik PSSI, yakni ketua baru pelatih baru nasional, Kitagaruda",positif
Indonesian national team fail reach AFF final Asnawi Saddil Klok et al lose Vietnam semifinal AFF Cup AFF Cup Mitsubishi Electric Cup semifinal Indonesia National Team PSSI National Team Day Kitagaruda Indonesian National Team,negatif
"tunggu timnas menang era Markus Horizon , bahkan , tahun menunggu , definisi sakit hati banyak waktu masih cinta hasshh mbohh affmitsubishielectriccup pssi timnasionalday",positif
"Indonesian football lose tiki taka , PSSI , dangerous , threat world cup , Asian cup , fox pattern tiki taka , cup .",negatif
n't need talk strange thing rombakpssi iwanbuleout pssi,negatif
Setukah rhyme pot change old PSSI style,positif
ah lumpuh tim nasional kecil ca n't bangga menghisap menghisap bersin wajah zany wajah memperbaiki nontn yang lain aj dah bubar ajee wajah menikmati makanan wajah air mata joy roll lantai tertawa affmitsubishielectriccup vietnamvsindonesia pssi shintaeyong,positif
PSSI national team lose Vietnam .,netral
udah sumpah Babeh Sabeni sejak dua dekade lalu roll floor ketawa roll floor ketawa roll floor ketawa hari timnas cupaff pssi,positif
Gagal Stik Semifinal Ganti Ketua Umum PSSI Bersama Pelatih Gantikan Indonesia Raih Trofi PSSI Hari Timnas Indonesia Piala Affmitshubishielectric,positif
wow semuanya mark sty mengundurkan diri lewat hari timnas pssi,positif
"hmm , gpp , saya pake , mati rasa , terus , udah kebal , datang muka menguap , muka menguap , timnas kalah , biasa aja PSSI",positif
inpres percepatan pembangunan sepak bola nasional & kepmenko PMK perihal road map percepatan pembangunan sepak bola nasional smp memahami wink face hari timnas kitagaruda pssi timnas indonesia,positif
"Indonesia indeed country patient wrong many time still continue play PSSI PSSI Indonesian football , Kemenpora",netral
"tim nasional gagal kompetisi seperti , benar-benar ingin melihat peningkatan kompetisi kualitas tagar jauh masalah kualitas pemain pembinaan hari tim nasional sty pssi",negatif
Langkah timnas Indonesia Piala AFF hentikan skuad Garuda takluk dari semifinal leg kedua Vietnam.,netral
"oke , gampang , pelatih pemain banyak yang kasar , drama provokatif , terimakasih perjuangan , Garuda lolos ke Asian Cup , trial , Hari Timnas PSSI",positif
"Kualitas Timnas Refleksi Kualitas Kompetisi Lokal Kompetisi Panjang Buruk , Timnas Tidak Akan Bagus .",negatif
masih merasa menang maluonyouvietnam banggaklok Hari Timnas PSSI,positif
seng salah masih pssi,negatif
"yak affmitsubishielectriccup , saatnya pssi fokus selesaikan masalah tragedi juri sepak bola",netral
udah lupa aff focus Asian cup roll floor laugh game masih seperti affmitshubishielectriccup pssi national team day,negatif
"kalah, pemain naturalisasi hentikan naturalisasi PSSI",netral
kasihan shin tae young affmitshubishielectriccup pssi timnas indonesia,netral
naturalisasi pemain Vietnam mungkin solusi tim nasional PSSI,netral
"masa depan tim nasional yang bagus mewakili klub pelatih juara liga minus pemain asing , kasihan karir pelatih minus kekuatan tegakkan benang basah hari timnas indonesiavsvietnam affmitsubishielectriccup indonesia shintaeyong pssi",positif
"remember Taufik Hidayat 's statement Uncle Dedy 's podcast , Indonesian game sport wo n't achieve PSSI National Team Day Indonesia",negatif
result Badut latihan PSSI Evaluasi terus Piala AFF tak menang seperti Hari Kebangsaan PSSI Aff AffmitsubishiElectricCup,positif
"Nonton Zoom Timnas Bikin Lemah , Sty Liye Ki , Timnas Indonesia Kalah Timnas Indonesia , Hari Timnas Shintaeyong PSSI",negatif
latih kesabaran nonton Timnas Indonesia PSSI Timnas Indonesia,netral
"akhirnya mewujudkan tim nasional rumah yang bagus, tim nasional memenangkan tim kecil, tim nasional memenangkan mentalitas, siapa pun pelatihnya, tim nasional tidak pernah maju memperbaiki liga,",positif
n't expect win right justice terwujud r p pssi,positif
"question , think Shin Tae Yong concerned advertising star , Red Heart HeadCoach , PSSI Repeat Button , PSSI , Aff Cup , Vietnam Indonesia , VietnamvsIndonesia , Shintaeyong ?",netral
vietnam round excel indonesia let's garuda indonesia soccer ball soccer ball soccer ball soccer ball pssi garuda affmitsubishielectriccup,negatif
"Jamin Timnas Indo Menang PSSI Isi Orang Kompeten, Tuhan Beri Karunia Orang Pakai Politik PSSI Cari Uang, Timnas PSSI Asnawi",positif
tim nasional butuh aff mitsubishi electric cup pssi,netral
"ayo PSSI jangan pilih latih orang kuat tes IQ , naturalisasi eq skill juga harus ketat PSSI",positif
Link live streaming Vietnam v Indonesia Saksikan siaran langsung semifinal leg Piala AFF hari ini Hari Timnas Kitagaruda PSSI Cek skor Timnas Indonesia Vietnam,positif
"Sir , get goosebumps hear national speech like , come , Indonesia , , Garuda , PSSI National Team Day Akbp Sumardji",netral
semifinal piala aff vietnam v indonesia vietnamvsindonesia jadwal siaran langsung lingkaran merah tautan televisi ponsel panah backhand index point kanan indonesia v vietnam tonton siaran langsung semifinal piala aff hari ini hari tim nasional kitagaruda pssi affmitsubishielectriccup,positif
link live streaming timnas indonesia v vietnam saksikan siaran langsung semifinal piala aff hari ini hari timnas kitagaruda pssi affmitsubishielectriccup,positif
start hari timnas xi leg semifinal timnas indonesia vietnam v indonesia finish win let's go final affcup affmitsubishielectriccup semifinal timnas indonesia pssi hari timnas kitagaruda timnas indonesia,positif
"fast WD depo process main ball Indonesian football , PSSI",positif
Zainudin deny rumor circulate President Joko Widodo direct one name run candidate chairmanship PSSI MediaIndonesia Reference Bangsa PSSI,positif
link live streaming timnas indonesia v vietnam saksikan siaran langsung semifinal piala aff hari ini hari timnas pssi kitagaruda timnas indonesia,positif
February KLB moment find new general chairman PSSI replace Mochamad Irawan alias Iwan Caucasian KLBPSSI PSSI,positif
"turn Mattalitti say intend return become general chairman PSSI . think , Indonesia PSSI Liga Indonesia Liga",positif
fit lanyalla lanyalla pssi pssi,positif
pair champion aff mitsubishi electric cup semifinal leg vietnam v indonesia monday january kick wib bandarbolaonline aff affcup affmitsubishielectriccup vietnam nguyen indonesia national national team senior aff kitagaruda pssi hobby,netral
kejuaraan aff liga indonesia senin januari afc cup translucent parlay hdp handicap pasar bola viral kita garuda jadwal pertandingan ultras garuda national team day pssi,netral
la nyalla mattalitti nih boss senggol dong face tear joy pssi lanyalamataliti bolaindonesia kongrespssi,positif
national league roll persedent yet practice sport news nusabali football pssi league soccer news,netral
Persebaya expel Surabaya,netral
link live streaming timnas indonesia v vietnam saksikan siaran langsung semifinal piala aff hari ini pssi timnas kitagaruda hari aff affcup,positif
"Arema new motto , football , news , sport , news , Nusabali , Arema , PSSI",positif
timnas away day malam ini dinh stadium hanoi vietnam live rcti semi final leg vietnam v indonesia finish win timnas indonesia affcup affmitsubishielectriccup semifinal timnas indonesia pssi hari timnas kitagaruda timnas indonesia,positif
Erksnews Sumedang Deputy Regent high hope new PSSI ASkab management PSSI Sumedang Simpati Pioniraskab Sumedang erksfm newserks lppl erks fm see full detail,positif
"kondisi rumput stadium nasional, dinh, pisang, Risw Molen, tangan Timnas Indonesia, Timnas PSSI",netral
"perlu banyak penyesalan hasil pulang hari ini , evaluasi buat perbaikan fokus pertandingan selanjutnya , optimis nanti pulang , indonesia menang , say la nyalla pssi lanyalla for pssi",positif
"leg kedua, giliran perjalanan Indonesia markas Vietnam. Lanyalla hop pemain timnas fokus adu gigi kuku menangkan pertandingan, Lanyalla PSSI, Lanyallaforpssi.",positif
