created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 09 17:19:22 +0000 2022;1579159600104108033;"Terlepas dari  apa pun tetap mendukung timnas U17 tapi Sangat disayangkan KUALITAS LAPANGAN MALAM INI,, #timnasgaruda #AFCU17  #PSSI #Bimasakti";0;0;0;0;in;469006987;1579159600104108033;liwesigiakbar;https://twitter.com/liwesigiakbar/status/1579159600104108033
Sun Oct 09 16:23:45 +0000 2022;1579145603996520448;"Langsung inget muncung nya si Markus Horison, teriak "Local Pride" .... Wakakakakakak  Telen tuh ludah... bikin malu aja...   @PSSI tolong ganti pelatih Kiper Timnas U 17 nya...   #makushorison #bimasakti #pssi #localpride https://t.co/IoGMWwq7IB";0;0;0;0;in;1364955728037953537;1579145603996520448;Roy25955977;https://twitter.com/Roy25955977/status/1579145603996520448
Sun Oct 09 16:17:56 +0000 2022;1579144137491636226;"Markus Horison udah gak bangga ama anak-anak Indonesia U-17 karena gagal ke AFC Asian u17 Cup 2023 karena kalah ama Malaysia U17 skor 1-5. Markus berteriak "LOKAL PAYAH". #localpayah #lokalpayah #afc #AFCU17Qualifiers #pssi #Indonesia Bima Sakti #timnas https://t.co/EuMcaq3IO3";0;0;0;0;in;44095166;1579144137491636226;zoxar;https://twitter.com/zoxar/status/1579144137491636226
Sun Oct 09 15:48:41 +0000 2022;1579136780133339136;"Menyepelekan hal yang kita anggap sepele adalah boomerang bagi kita sendiri  #PerbaikandanPerubahan #pssi";0;0;0;0;in;1578838656403791873;1579136780133339136;windldynt;https://twitter.com/windldynt/status/1579136780133339136
Sun Oct 09 15:22:32 +0000 2022;1579130195436789760;"Bukan hal aneh Malaysia dapat mengalahkan Indonesia dan semoga jadi pengalaman pahit sekaligus berharga bagi #GarudaMuda untuk berbenah.PSSI U-19 Inshaa Allah lolos AFF U-17. #AFF2022 #PSSI Minggu Local Pride  Markus Bima Sakti Iqbal  Pakansari Malaysia. @PSSI @iwanbule @Bolanet https://t.co/UigjasltwQ";0;0;0;0;in;856739238632538112;1579130195436789760;Ajuansyah_putra;https://twitter.com/Ajuansyah_putra/status/1579130195436789760
Sun Oct 09 15:20:47 +0000 2022;1579129757903769601;"U-17 mereka sudah berjuang. Tolong yang tua kasih + statement. Apakah byorkaaa akan ditanya para netizennn wkwkwkkwwk #U17 #pssi #timnasu17";0;0;0;0;in;173416974;1579129757903769601;ansorisantoso;https://twitter.com/ansorisantoso/status/1579129757903769601
Sun Oct 09 15:18:31 +0000 2022;1579129188237606915;"@PSSI Kekalahan ini akan terus tayang di YouTube... bagaimana nasib adik2 kita ini saat menonton pertandingan tsb...Lebih Malu saat liat komen2nya.Bgmn hal tsb wahai Coaches. #nasionalisme #pssiwajibtanggungjawab #pssi";0;0;0;0;in;1488525264225443840;1579110119375196160;Lunarday5;https://twitter.com/Lunarday5/status/1579129188237606915
Sun Oct 09 15:09:19 +0000 2022;1579126872524267521;"Liga Spanyol ( BolaUtama ) #SepakBolaIndonesia #ISL #PSSI";0;0;0;0;in;788684205588815872;1579126872524267521;bola_utama;https://twitter.com/bola_utama/status/1579126872524267521
Sun Oct 09 15:07:56 +0000 2022;1579126521314230272;"mau sampai kapan kalian seperti ini.aneh ni ga biasa maen gini?logika arab saudi masi menang.klo emang kalah selisih 2 gol atau 3 lah ini 5.ada apa pa? jng sampe piala aff 2010 terulang pa?? #pssi #markus #timnas";0;0;0;1;in;1527562150587539456;1579126521314230272;saniRocker;https://twitter.com/saniRocker/status/1579126521314230272
Sun Oct 09 15:04:22 +0000 2022;1579125624987602944;"Oh jadi ini kejutannya coach penjas  #pamungkas #pssi #timnasu17 https://t.co/fSnQ0TIRWw";0;0;0;0;in;1429158150758748160;1579125624987602944;L_Giorza;https://twitter.com/L_Giorza/status/1579125624987602944
