created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 09 23:05:06 +0000 2023;1689412517595099137;"#ITSLI - Kabar Duka Dari Dunia Bulu Tangkis, Ibunda Anthony Sinisuka Ginting Meninggal Dunia.  Tetap semangat terus bang ginting, semua indah pada waktunya 😇😇😇  #Ligasatuindonesia1 #BRILiga1 #PSSI #TimnasIndonesia #sinisukanthony #BWFWorldTour #BWFWorld https://t.co/04aNVcss6E";0;0;0;0;in;1659401227590045698;1689412517595099137;seputar_liga1;https://twitter.com/seputar_liga1/status/1689412517595099137
Wed Aug 09 19:27:44 +0000 2023;1689357814010179584;"https://t.co/v5Y9vjYbSX  Hasil Al Shorta vs Al Nassr  #pialadunia #bolamania #sepakbola #sepakbolaasia #sepakbolaternama #sepakbolaterdepan #sepakbolaterkini #sbobet #sbo #aseangames2023 #pssi https://t.co/wfJK8VvxrY";0;0;0;1;in;1333880876707397634;1689357814010179584;BandarBolaTop;https://twitter.com/BandarBolaTop/status/1689357814010179584
Wed Aug 09 16:03:50 +0000 2023;1689306502421708801;"Akhirnya. JIS diusulkan sebagai tempat pembukaan Piala Dunia U-17! Terimakasih pada vendor rumput Qamal Mutaqin yang buat JIS jadi terkenal. Clear. Masuk barang itu! #jis #pssi #pialaduniau17 #qamalmutaqin https://t.co/0rExZEof9J";0;0;0;0;in;83385260;1689306502421708801;lalumara;https://twitter.com/lalumara/status/1689306502421708801
Wed Aug 09 15:16:32 +0000 2023;1689294597300830209;"https://t.co/eM1oWPV3PU  Zaniolo Akan Di Incar Juventus  #sepakbola #sepakbolaasia #sepakbolaterdepan #sepakbolaterkini #sepakbolatermasyur #sepakbolaterhingga #bolamania #duniabola #sbo #sbobet #pssi https://t.co/ZneGOlRHNk";0;0;0;1;in;1333880876707397634;1689294597300830209;BandarBolaTop;https://twitter.com/BandarBolaTop/status/1689294597300830209
Wed Aug 09 14:11:44 +0000 2023;1689278290719027201;"FULLTIME  BRI Liga 1 2023/24 (Pekan ke-7)  RANS Nusantara FC 3 - 1 Madura United   ⚽️ Tavinho 9' ⚽️ Mitsuru Maruoka 26' ⚽️ Ângelo Meneses 65'  ———  ⚽ Malik Risaldi 81'  #BRILiga1202324 #MentalJuara #SupporterBersatu #BersamaBisa   #pssi #LIB #rans #madura #beritabola #turunminum https://t.co/pxbo4wAbWs";0;0;0;1;in;1639038819143155712;1689278290719027201;turunminum_id;https://twitter.com/turunminum_id/status/1689278290719027201
Wed Aug 09 12:27:22 +0000 2023;1689252026096717824;"Optimis ditangan @erickthohir sepak bola Indonesia semakin bersih dan berprestasi🔥  #erickthohir #ericksolusi #ketumpssi #pssi #sepakbola #BEI #yayasanbaktisepakbola #atlet #atletindonesia #pahlawansepakbola #timnas #timnasindonesia #timnasday #fifa #KitaGaruda #GarudaMendunia https://t.co/E9iLA8xN9O";0;0;0;0;in;1593156160818855936;1689252026096717824;montureng;https://twitter.com/montureng/status/1689252026096717824
Wed Aug 09 12:12:48 +0000 2023;1689248361990455296;"Kerja kerasnya Pak @erickthohir emang cerminan sosok pemimpin terbaik masa depan Indonesia.   #erickthohir #ericksolusi #menteribumn #bumn #ketumpssi #pssi #pemimpin #capres #cawapres #ETCawapresPilihan #Indonesia #Indonesiamaju #pemimpingenerasimuda https://t.co/Do3FF4ooG7";0;0;0;0;in;1593112434084306946;1689248361990455296;WalujoRaka;https://twitter.com/WalujoRaka/status/1689248361990455296
Wed Aug 09 10:30:00 +0000 2023;1689222490424541186;"PSSI merilis skuad Timnas Indonesia U-23 untuk Pemusatan Latihan (TC) menuju Piala AFF U-23 2023 🇮🇩⁣ ⁣ Nama-nama seperti Ivar Jenner, Rafael Struick dan Witan Sulaeman, kini sudah tidak dipanggil lagi 👀⁣ ⁣ #PSSI #TimnasIndonesia #AFFU23 #detiksport https://t.co/UBzD4yXqr2";1;2;1;9;in;135783107;1689222490424541186;detiksport;https://twitter.com/detiksport/status/1689222490424541186
Wed Aug 09 10:08:40 +0000 2023;1689217120771702784;"INI ALASAN PSSI MENGUBAH DAFTAR PEMAIN TIMNAS INDONESIA UNTUK PIALA AFF U23 2023  https://t.co/ynizrDpU6o  #timnasindonesia #pssi #sty #pialaaff #affu23 #indonesia #shintaeyong #pemaintimnas #abroad #kitagaruda #timnasday";0;0;0;0;in;719862605972664320;1689217120771702784;muh_rafli28;https://twitter.com/muh_rafli28/status/1689217120771702784
Wed Aug 09 09:43:40 +0000 2023;1689210831802646528;"Persib Tanggapi Suporternya yang Tandang ke Solo dan Ricuh: Tolong Taati Aturan dan Regulasi yang Berlaku  Berita Selengkapnya  https://t.co/oSoiq0Qw7j  * * * * Berita @ligasatuindonesia1  https://t.co/zZoqf04EgL  #ligasatuindonesia1 #briliga1 #pssi #PERSIB https://t.co/DlH1tPyB5t";0;0;0;0;in;1659401227590045698;1689210831802646528;seputar_liga1;https://twitter.com/seputar_liga1/status/1689210831802646528
Wed Aug 09 09:29:29 +0000 2023;1689207261477183488;"gass terusss, tancap !!! #sty  #erickthohir #pssi https://t.co/jUb2c7pnfo";0;0;0;0;in;1679687534308388865;1689207261477183488;Gesangsatriatm;https://twitter.com/Gesangsatriatm/status/1689207261477183488
Wed Aug 09 09:29:00 +0000 2023;1689207137631932417;"Persija sempat menerima surat dari PSSI terkait pemanggilan lima pemainnya untuk mengikuti pemusatan latihan Timnas Indonesia U-23.  #bolaskorcom #persija #pssi #timnasindonesia  https://t.co/Rr0PX59qVz";0;0;0;0;in;940477788959555584;1689207137631932417;bolaskorcom;https://twitter.com/bolaskorcom/status/1689207137631932417
Wed Aug 09 08:13:38 +0000 2023;1689188173145133056;"STY Hadirkan 4 Debutan di Timnas U-23 untuk Piala AFF 2023   https://t.co/UCSkwibEOC  #pssi #PSSday #PERSIBDAY #PersijaDay #PERSIB #PERSISDay #persis #PersebayaDay";0;0;1;0;in;1647791425680191488;1689188173145133056;Bacakoranco;https://twitter.com/Bacakoranco/status/1689188173145133056
